Country,Stability,Safety,Score,Ranking
Afghanistan,29,56,42,124
Albania,59,87,72,55
Algeria,44,80,61,95
Argentina,46,81,63,85
Armenia,44,76,60,99
Australia,89,94,90,14
Austria,79,99,88,21
Azerbaijan,46,52,49,117
Bahrain,64,82,72,54
Bangladesh,48,81,64,83
Belarus,42,75,57,105
Belgium,73,94,82,31
Bolivia,63,81,71,57
Bosnia and Herzegovina,40,86,63,88
Botswana,67,78,71,56
Brazil,50,52,51,112
Brunei,90,98,92,7
Bulgaria,58,93,74,50
Burundi,34,68,51,113
Cambodia,63,76,68,67
Canada,84,97,89,17
Chad,44,51,46,119
Chile,64,84,73,52
China,68,83,74,51
Colombia,48,24,37,128
Congo,47,71,58,104
Costa Rica,69,78,73,53
Croatia,67,96,80,33
Cyprus,66,85,75,49
Czechia,72,99,84,29
Denmark,84,99,90,12
Dominican Republic,64,73,67,70
Ecuador,66,71,67,72
Egypt,41,76,58,103
El Salvador,61,41,50,114
Estonia,72,90,80,36
Ethiopia,25,38,32,130
Finland,83,96,88,20
France,72,86,78,40
Gambia,52,73,62,93
Georgia,52,80,66,79
Germany,82,96,88,23
Ghana,46,88,66,75
Greece,55,87,70,60
Guatemala,58,61,58,101
Honduras,47,40,44,122
Hong Kong *,86,99,91,8
Hungary,65,96,80,35
Iceland,85,100,90,10
India,56,69,62,92
Indonesia,65,89,75,47
Iran,24,65,44,120
Iraq,25,50,38,127
Ireland,85,99,90,13
Israel,55,69,62,89
Italy,64,91,77,43
Ivory Coast,59,68,62,90
Jamaica,63,45,54,108
Japan,89,100,93,5
Jordan,51,86,68,68
Kazakhstan,60,80,69,62
Kenya,48,72,59,100
Kiribati,89,96,90,9
Kuwait,74,89,80,34
Kyrgyzstan,44,62,53,109
Laos,55,80,67,74
Latvia,65,89,75,45
Lebanon,13,68,41,126
Lesotho,45,43,44,121
Lithuania,67,88,76,44
Luxembourg,92,99,94,3
Macao *,91,98,93,4
Madagascar,50,77,63,87
Malawi,42,79,60,98
Malaysia,74,95,83,30
Malta,84,98,90,16
Mexico,54,42,48,118
Moldova,42,83,62,91
Mongolia,56,82,69,66
Montenegro,47,86,66,77
Morocco,55,82,68,69
Myanmar,30,21,26,132
Nepal,52,84,67,73
Netherlands,79,95,86,25
New Zealand,90,97,92,6
Nicaragua,49,66,57,107
Nigeria,24,45,35,129
North Macedonia,50,89,69,63
Norway,88,96,90,11
Oman,76,86,79,37
Pakistan,24,63,44,123
Palestine,32,70,51,111
Paraguay,57,76,66,76
Peru,56,77,65,80
Philippines,57,70,63,86
Poland,66,93,79,38
Portugal,75,99,86,26
Qatar,86,94,88,19
Romania,62,91,75,46
Russia,50,55,52,110
Rwanda,47,81,63,84
San Marino,92,100,95,1
Saudi Arabia,67,76,71,58
Senegal,59,85,71,59
Serbia,52,86,69,65
Singapore,83,100,90,15
Slovakia,65,94,78,39
Slovenia,78,99,87,24
South Africa,43,40,42,125
South Korea,83,89,85,27
Spain,62,92,77,42
Sri Lanka,34,81,57,106
Sudan,6,39,23,133
Sweden,85,94,88,22
Switzerland,92,99,94,2
Tajikistan,50,79,64,82
Tanzania,60,80,69,64
Thailand,61,80,70,61
Togo,50,73,60,97
Trinidad and Tobago,69,54,61,96
Tunisia,44,80,61,94
Turkey,36,64,50,115
Tuvalu,84,99,89,18
Uganda,49,69,58,102
Ukraine,16,38,28,131
United Arab Emirates,85,87,85,28
United Kingdom,75,91,82,32
United States,67,68,67,71
Uruguay,77,80,78,41
Uzbekistan,51,82,66,78
Vietnam,72,81,75,48
Zambia,50,82,65,81
Zimbabwe,31,69,49,116