Cuntry,Continent,Population,Area (km2) 
Afghanistan,Asia,41128771,652230
Albania,Europe,2842321,28748
Algeria,Africa,44903225,2381741
American Samoa,Oceania,44273,199
Andorra,Europe,79824,468
Angola,Africa,35588987,1246700
Anguilla,North America,15857,91
Antigua and Barbuda,North America,93763,442
Argentina,South America,45510318,2780400
Armenia,Asia,2780469,29743
Aruba,North America,106445,180
Australia,Oceania,26177413,7692024
Austria,Europe,8939617,83871
Azerbaijan,Asia,10358074,86600
Bahamas,North America,409984,13943
Bahrain,Asia,1472233,765
Bangladesh,Asia,171186372,147570
Barbados,North America,281635,430
Belarus,Europe,9534954,207600
Belgium,Europe,11655930,30528
Belize,North America,405272,22966
Benin,Africa,13352864,112622
Bermuda,North America,64184,54
Bhutan,Asia,782455,38394
Bolivia,South America,12224110,1098581
Bosnia and Herzegovina,Europe,3233526,51209
Botswana,Africa,2630296,582000
Brazil,South America,215313498,8515767
British Virgin Islands,North America,31305,151
Brunei,Asia,449002,5765
Bulgaria,Europe,6781953,110879
Burkina Faso,Africa,22673762,272967
Burundi,Africa,12889576,27834
Cambodia,Asia,16767842,181035
Cameroon,Africa,27914536,475442
Canada,North America,38454327,9984670
Cape Verde,Africa,593149,4033
Cayman Islands,North America,68706,264
Central African Republic,Africa,5579144,622984
Chad,Africa,17723315,1284000
Chile,South America,19603733,756102
China,Asia,1425887337,9706961
Colombia,South America,51874024,1141748
Comoros,Africa,836774,1862
Cook Islands,Oceania,17011,236
Costa Rica,North America,5180829,51100
Croatia,Europe,4030358,56594
Cuba,North America,11212191,109884
Curacao,North America,191163,444
Cyprus,Europe,1251488,9251
Czech Republic,Europe,10493986,78865
Denmark,Europe,5882261,43094
Djibouti,Africa,1120849,23200
Dominica,North America,72737,751
Dominican Republic,North America,11228821,48671
DR Congo,Africa,99010212,2344858
Ecuador,South America,18001000,276841
Egypt,Africa,110990103,1002450
El Salvador,North America,6336392,21041
Equatorial Guinea,Africa,1674908,28051
Eritrea,Africa,3684032,117600
Estonia,Europe,1326062,45227
Eswatini,Africa,1201670,17364
Ethiopia,Africa,123379924,1104300
Falkland Islands,South America,3780,12173
Faroe Islands,Europe,53090,1393
Fiji,Oceania,929766,18272
Finland,Europe,5540745,338424
France,Europe,64626628,551695
French Guiana,South America,304557,83534
French Polynesia,Oceania,306279,4167
Gabon,Africa,2388992,267668
Gambia,Africa,2705992,10689
Georgia,Asia,3744385,69700
Germany,Europe,83369843,357114
Ghana,Africa,33475870,238533
Gibraltar,Europe,32649,6
Greece,Europe,10384971,131990
Greenland,North America,56466,2166086
Grenada,North America,125438,344
Guadeloupe,North America,395752,1628
Guam,Oceania,171774,549
Guatemala,North America,17843908,108889
Guernsey,Europe,63301,78
Guinea,Africa,13859341,245857
Guinea-Bissau,Africa,2105566,36125
Guyana,South America,808726,214969
Haiti,North America,11584996,27750
Honduras,North America,10432860,112492
Hong Kong,Asia,7488865,1104
Hungary,Europe,9967308,93028
Iceland,Europe,372899,103000
India,Asia,1417173173,3287590
Indonesia,Asia,275501339,1904569
Iran,Asia,88550570,1648195
Iraq,Asia,44496122,438317
Ireland,Europe,5023109,70273
Isle of Man,Europe,84519,572
Israel,Asia,9038309,20770
Italy,Europe,59037474,301336
Ivory Coast,Africa,28160542,322463
Jamaica,North America,2827377,10991
Japan,Asia,123951692,377930
Jersey,Europe,110778,116
Jordan,Asia,11285869,89342
Kazakhstan,Asia,19397998,2724900
Kenya,Africa,54027487,580367
Kiribati,Oceania,131232,811
Kuwait,Asia,4268873,17818
Kyrgyzstan,Asia,6630623,199951
Laos,Asia,7529475,236800
Latvia,Europe,1850651,64559
Lebanon,Asia,5489739,10452
Lesotho,Africa,2305825,30355
Liberia,Africa,5302681,111369
Libya,Africa,6812341,1759540
Liechtenstein,Europe,39327,160
Lithuania,Europe,2750055,65300
Luxembourg,Europe,647599,2586
Macau,Asia,695168,30
Madagascar,Africa,29611714,587041
Malawi,Africa,20405317,118484
Malaysia,Asia,33938221,330803
Maldives,Asia,523787,300
Mali,Africa,22593590,1240192
Malta,Europe,533286,316
Marshall Islands,Oceania,41569,181
Martinique,North America,367507,1128
Mauritania,Africa,4736139,1030700
Mauritius,Africa,1299469,2040
Mayotte,Africa,326101,374
Mexico,North America,127504125,1964375
Micronesia,Oceania,114164,702
Moldova,Europe,3272996,33846
Monaco,Europe,36469,2
Mongolia,Asia,3398366,1564110
Montenegro,Europe,627082,13812
Montserrat,North America,4390,102
Morocco,Africa,37457971,446550
Mozambique,Africa,32969517,801590
Myanmar,Asia,54179306,676578
Namibia,Africa,2567012,825615
Nauru,Oceania,12668,21
Nepal,Asia,30547580,147181
Netherlands,Europe,17564014,41850
New Caledonia,Oceania,289950,18575
New Zealand,Oceania,5185288,270467
Nicaragua,North America,6948392,130373
Niger,Africa,26207977,1267000
Nigeria,Africa,218541212,923768
Niue,Oceania,1934,260
North Korea,Asia,26069416,120538
North Macedonia,Europe,2093599,25713
Northern Mariana Islands,Oceania,49551,464
Norway,Europe,5434319,323802
Oman,Asia,4576298,309500
Pakistan,Asia,235824862,881912
Palau,Oceania,18055,459
Palestine,Asia,5250072,6220
Panama,North America,4408581,75417
Papua New Guinea,Oceania,10142619,462840
Paraguay,South America,6780744,406752
Peru,South America,34049588,1285216
Philippines,Asia,115559009,342353
Poland,Europe,39857145,312679
Portugal,Europe,10270865,92090
Puerto Rico,North America,3252407,8870
Qatar,Asia,2695122,11586
Republic of the Congo,Africa,5970424,342000
Reunion,Africa,974052,2511
Romania,Europe,19659267,238391
Russia,Europe,144713314,17098242
Rwanda,Africa,13776698,26338
Saint Barthelemy,North America,10967,21
Saint Kitts and Nevis,North America,47657,261
Saint Lucia,North America,179857,616
Saint Martin,North America,31791,53
Saint Pierre and Miquelon,North America,5862,242
Saint Vincent and the Grenadines,North America,103948,389
Samoa,Oceania,222382,2842
San Marino,Europe,33660,61
Sao Tome and Principe,Africa,227380,964
Saudi Arabia,Asia,36408820,2149690
Senegal,Africa,17316449,196722
Serbia,Europe,7221365,88361
Seychelles,Africa,107118,452
Sierra Leone,Africa,8605718,71740
Singapore,Asia,5975689,710
Sint Maarten,North America,44175,34
Slovakia,Europe,5643453,49037
Slovenia,Europe,2119844,20273
Solomon Islands,Oceania,724273,28896
Somalia,Africa,17597511,637657
South Africa,Africa,59893885,1221037
South Korea,Asia,51815810,100210
South Sudan,Africa,10913164,619745
Spain,Europe,47558630,505992
Sri Lanka,Asia,21832143,65610
Sudan,Africa,46874204,1886068
Suriname,South America,618040,163820
Sweden,Europe,10549347,450295
Switzerland,Europe,8740472,41284
Syria,Asia,22125249,185180
Taiwan,Asia,23893394,36193
Tajikistan,Asia,9952787,143100
Tanzania,Africa,65497748,945087
Thailand,Asia,71697030,513120
Timor-Leste,Asia,1341296,14874
Togo,Africa,8848699,56785
Tokelau,Oceania,1871,12
Tonga,Oceania,106858,747
Trinidad and Tobago,North America,1531044,5130
Tunisia,Africa,12356117,163610
Turkey,Asia,85341241,783562
Turkmenistan,Asia,6430770,488100
Turks and Caicos Islands,North America,45703,948
Tuvalu,Oceania,11312,26
Uganda,Africa,47249585,241550
Ukraine,Europe,39701739,603500
United Arab Emirates,Asia,9441129,83600
United Kingdom,Europe,67508936,242900
United States,North America,338289857,9372610
United States Virgin Islands,North America,99465,347
Uruguay,South America,3422794,181034
Uzbekistan,Asia,34627652,447400
Vanuatu,Oceania,326740,12189
Vatican City,Europe,510,1
Venezuela,South America,28301696,916445
Vietnam,Asia,98186856,331212
Wallis and Futuna,Oceania,11572,142
Western Sahara,Africa,575986,266000
Yemen,Asia,33696614,527968
Zambia,Africa,20017675,752612
Zimbabwe,Africa,16320537,390757